,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
73,NICOLE REGIONAL HOSPITAL,58.3719315,-106.8155,EASTERN,KAILAHUN,MISSOURI,WILLIAMSMOUTH,,,True,2,3,1,1,1,0,0,1,1,1,1,5,5,1,1,1,1,1,1,1,1,Birth&Death Officer,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,125,195,178,408,125,174,127,408,20,24,22,17,25,22,23,20,0,1,1,1,2,True,True,True,True,True,True,False,2,1,2,2,1,0,1,2,2,1,1,0,0,0,0,1,2,1,2,0,1,1,1,1,1,0,1,1,1,2,0,2,2,1,0,1,1,1,0,0,0,1,2,1,1,0,2,2,2,2,2,2,2,,2,1,0,2,2,0,2,0,1,1,2,2,2,2,1,2,0,2,1,2,2,2,2,2,2,1,2,2,1,1,0,2,1,2,0,2,226.5,208.5,20.75,22.5,2.5,5.0,6.0,7.0,3.5,4.0,3.0,5.0,0.5,6.0,3.0,4.0,3.5,9.0,2.5,4.0,2.0,4.0,1.0,5.0,2.0,5.0,11.0,27.0,30.5,44.0,60.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
74,ROBERT REGIONAL HOSPITAL,31.051884,119.526785,EASTERN,KONO,SOUTH CAROLINA,PEREZSIDE,,,True,2,2,2,0,0,1,1,0,0,1,1,1,1,0,0,2,0,1,0,1,0,vaccinator,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,631,890,591,604,325,359,180,269,21,23,24,21,38,32,34,31,0,2,1,0,2,True,False,False,False,False,False,True,2,2,2,2,0,0,0,1,0,1,1,1,2,0,0,0,1,1,2,2,2,2,,,,,,,1,1,0,0,0,0,0,2,2,0,2,0,2,2,0,,2,0,1,2,1,0,0,2,2,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,2,1,2,0,2,2,0,1,0,0,2,0,2,0,0,0,2,0,0,679.0,283.25,22.25,33.75,2.5,5.0,2.0,7.0,4.0,4.0,0.5,5.0,2.0,6.0,2.0,4.0,3.0,9.0,1.0,4.0,1.0,4.0,3.0,5.0,1.0,5.0,9.0,27.0,14.0,44.0,36.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
75,TREVOR TERTIARY HOSPITAL,-11.3007105,-6.094243,WESTERN AREA,WESTERN AREA RURAL,COLORADO,PORT MARCUSSHIRE,,,True,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,986,914,1063,955,715,777,785,759,13,13,14,12,20,19,23,12,0,1,0,0,2,True,True,True,False,True,True,False,0,0,2,2,2,0,2,2,0,1,0,1,2,0,0,0,0,0,2,2,2,2,2,2,2,1,2,2,0,2,0,0,2,2,0,2,1,0,2,0,2,1,0,1,0,0,2,2,2,2,2,0,2,0,2,2,0,0,0,0,2,0,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,0,0,979.5,759.0,13.0,18.5,1.5,5.0,5.0,7.0,2.0,4.0,3.0,5.0,1.5,6.0,1.0,4.0,8.5,9.0,1.0,4.0,3.0,4.0,2.5,5.0,1.0,5.0,16.0,27.0,30.0,44.0,60.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
76,LEVI CHC,-9.6404405,19.234684,SOUTHERN,PUJEHUN,MICHIGAN,NEW COLLEEN,,,True,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,1,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,443,515,555,524,266,245,236,261,18,16,18,17,17,17,18,17,2,2,2,1,2,True,True,True,True,True,False,True,2,2,2,2,0,0,0,2,2,0,0,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,1,0,2,2,2,2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,2,0,1,1,0,2,0,2,2,2,2,0,2,2,2,0,2,0,2,0,2,2,0,0,0,2,2,2,2,2,2,2,0,0,0,509.25,252.0,17.25,17.25,4.5,5.0,6.0,7.0,4.0,4.0,2.0,5.0,3.0,6.0,2.0,4.0,9.0,9.0,2.0,4.0,1.5,4.0,3.0,5.0,0.0,5.0,15.5,27.0,24.0,44.0,61.0,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
77,TRACY REGIONAL HOSPITAL,55.6931985,134.815746,NOTHERN,BOMBALI,INDIANA,LAKE RICHARDVILLE,,,True,4,10,2,1,0,0,0,2,2,2,0,3,1,1,0,2,0,3,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,631,760,701,511,323,264,338,226,16,14,15,11,31,30,31,32,0,1,0,0,2,True,False,False,False,False,False,True,2,2,2,2,0,0,1,0,2,2,2,1,0,1,2,2,0,1,1,2,1,2,0,0,0,0,0,1,1,0,0,0,2,1,0,0,2,1,0,0,0,0,2,1,0,1,0,0,,0,2,0,2,,0,2,0,1,2,0,2,0,2,2,0,0,2,1,0,1,0,2,0,0,0,1,2,0,0,0,0,0,1,0,0,0,2,2,0,0,650.75,287.75,14.0,31.0,1.5,5.0,2.0,7.0,4.0,4.0,1.5,5.0,3.0,6.0,2.0,4.0,3.0,9.0,0.5,4.0,1.5,4.0,1.5,5.0,2.0,5.0,8.5,27.0,13.5,44.0,36.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
78,JORGE MCHP,-83.915494,-90.317256,NOTHERN,BOMBALI,GEORGIA,BALLTON,,,False,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,5,5,8,8,4,6,8,8,8,5,8,8,8,8,4,8,2,1,1,2,,True,True,True,True,True,True,True,2,1,1,1,1,1,1,1,,0,0,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,6.5,7.25,7.0,3.0,5.0,7.0,7.0,2.5,4.0,2.0,5.0,2.0,6.0,0.5,4.0,1.0,9.0,2.0,4.0,2.5,4.0,0.0,5.0,0.5,5.0,6.0,27.0,27.5,44.0,50.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
79,KAYLA TERTIARY HOSPITAL,-46.633421,75.306664,SOUTHERN,BONTHE,CALIFORNIA,NEW LISAVILLE,,,False,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,260,174,199,181,124,102,127,83,3,4,7,4,12,9,3,7,2,1,0,0,0,False,False,False,True,False,False,False,0,0,2,2,0,0,2,2,0,1,1,1,2,0,0,0,2,2,2,1,0,1,2,2,0,2,1,1,0,0,0,2,0,0,0,0,2,2,2,0,0,0,2,2,0,0,2,2,2,1,1,0,0,0,2,0,0,1,1,0,2,0,2,2,2,1,2,1,1,1,0,2,1,1,0,1,2,2,2,2,2,1,0,1,0,2,2,0,0,0,203.5,109.0,4.5,7.75,1.5,5.0,1.0,7.0,2.0,4.0,2.0,5.0,2.0,6.0,3.0,4.0,5.0,9.0,1.0,4.0,0.0,4.0,3.0,5.0,2.0,5.0,11.0,27.0,22.5,44.0,45.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
80,JOSHUA HOSPITAL/CHC,-79.6250155,-158.643764,SOUTHERN,BO,IOWA,BROOKSHAVEN,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,CHW and TBAs,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,556,514,546,483,296,308,332,299,10,9,10,9,14,10,13,12,0,2,1,0,2,True,False,False,False,False,True,True,1,0,2,2,0,2,1,0,0,1,1,2,2,1,0,0,0,0,0,2,2,2,2,2,0,0,0,2,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,524.75,308.75,9.5,12.25,2.5,5.0,3.0,7.0,2.5,4.0,1.5,5.0,3.0,6.0,0.0,4.0,6.0,9.0,0.5,4.0,0.5,4.0,2.0,5.0,0.0,5.0,9.0,27.0,8.0,44.0,29.5,102.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
81,MICHAEL HOSPITAL/CHC,35.3163565,71.14053,SOUTHERN,BONTHE,NORTH CAROLINA,CUNNINGHAMBURGH,,,False,2,3,2,0,0,0,0,3,3,1,0,1,1,0,0,2,0,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,301,290,308,213,155,140,167,116,6,6,8,10,8,6,2,1,2,1,1,0,0,True,False,False,True,False,False,False,2,0,2,2,0,0,2,2,0,1,1,1,1,1,0,0,2,2,2,1,1,2,1,1,1,0,1,1,1,1,0,2,1,0,0,2,2,2,2,0,0,0,2,0,0,0,2,2,2,2,1,1,0,2,1,0,0,1,1,0,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,2,1,1,1,0,1,1,1,0,0,278.0,144.5,7.5,4.25,2.0,5.0,2.0,7.0,3.0,4.0,2.0,5.0,2.0,6.0,3.0,4.0,4.5,9.0,2.0,4.0,1.5,4.0,3.0,5.0,1.0,5.0,12.0,27.0,20.0,44.0,46.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
82,SELENA HOSPITAL/CHC,-59.4909375,47.480125,EASTERN,KENEMA,MARYLAND,JACOBVILLE,,,True,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,EDC Unit Assistant,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,588,493,495,426,292,133,167,123,12,10,13,12,14,15,15,12,0,2,1,0,2,True,True,True,True,True,True,True,1,0,2,2,2,0,0,1,2,1,1,0,0,1,1,2,2,2,1,0,0,2,1,0,0,0,2,2,1,1,1,0,1,0,0,0,1,0,0,0,0,2,2,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,1,0,2,1,1,0,0,500.5,178.75,11.75,14.0,2.5,5.0,7.0,7.0,2.5,4.0,2.5,5.0,1.5,6.0,3.5,4.0,3.5,9.0,1.5,4.0,0.5,4.0,0.5,5.0,3.0,5.0,9.0,27.0,12.5,44.0,41.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
83,STEPHANIE MCHP,66.864073,-104.702154,EASTERN,KONO,OKLAHOMA,SOUTH DANIEL,,,True,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,232,312,201,216,95,157,109,131,6,8,8,7,9,12,13,7,2,2,0,1,2,True,True,True,True,True,True,True,1,0,2,2,0,0,1,2,0,2,2,0,0,0,0,0,2,2,0,2,2,1,2,2,2,2,2,2,1,1,1,0,1,0,0,0,2,2,2,2,2,0,1,0,1,0,2,2,2,1,0,0,2,2,0,2,2,2,0,0,2,0,2,0,2,0,2,0,2,1,0,2,1,2,2,2,0,2,0,0,2,2,2,2,0,0,2,2,0,0,240.25,123.0,7.25,10.25,3.5,5.0,7.0,7.0,2.5,4.0,1.5,5.0,1.0,6.0,2.0,4.0,8.5,9.0,1.5,4.0,0.5,4.0,5.0,5.0,0.5,5.0,16.0,27.0,24.5,44.0,58.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
84,JOHN CLINIC,53.647814,-115.559792,NORTHERN,KOINADUGU,TENNESSEE,GARYTOWN,,,True,1,2,2,15,12,4,2,0,0,3,2,5,3,0,0,5,4,3,2,0,0,,consultations,14,25,10,11,12,8,10,10,5,4,5,3,23,22,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,10.0,4.25,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
85,WILLIAM TERTIARY HOSPITAL,-60.266204,2.799679,EASTERN,KAILAHUN,MINNESOTA,NEW SHELBY,,,True,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,2,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,314,213,206,210,250,116,106,161,15,17,18,12,13,12,10,7,1,2,0,0,0,True,True,True,True,True,True,True,0,2,2,2,0,0,0,0,0,1,1,1,1,1,1,0,2,2,2,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,2,2,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,2,2,1,2,2,2,0,0,2,0,2,2,2,2,0,1,0,2,0,0,1,1,2,2,2,0,1,235.75,158.25,15.5,10.5,1.5,5.0,7.0,7.0,3.0,4.0,0.0,5.0,2.5,6.0,3.0,4.0,1.5,9.0,0.0,4.0,1.0,4.0,1.0,5.0,0.5,5.0,4.0,27.0,18.5,44.0,39.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
86,CHARLES REGIONAL HOSPITAL,-71.5464265,128.910108,NORTHERN,TONKOLILI,MISSOURI,WILEYBOROUGH,,,False,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,6,6,Community Health Workers,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,131,108,78,127,332,244,192,308,3,5,2,3,7,6,7,9,0,2,2,2,2,True,True,False,True,False,True,False,0,0,2,2,2,2,2,2,0,2,2,1,2,1,2,0,2,2,2,1,1,1,2,1,1,0,2,1,2,0,0,0,0,0,0,2,2,0,1,0,1,2,1,0,2,0,2,0,1,2,2,0,0,0,2,0,0,0,2,2,2,2,0,2,0,2,0,2,0,,,,0,0,1,2,2,0,2,0,2,0,2,2,2,2,2,2,0,0,111.0,269.0,3.25,7.25,4.0,5.0,4.0,7.0,2.0,4.0,4.0,5.0,4.0,6.0,3.0,4.0,5.0,9.0,1.0,4.0,1.0,4.0,2.0,5.0,1.5,5.0,10.5,27.0,20.0,44.0,51.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
87,DEAN CHC,74.113497,-144.839716,WESTERN,WESTERN AREA URBAN,DELAWARE,COLLEENBURGH,,,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,1,Nursing Aide,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,420,381,546,427,145,116,120,207,0,0,0,0,50,50,61,65,0,0,0,0,0,True,True,True,False,False,False,False,1,0,2,2,2,2,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,1,1,2,0,2,0,0,0,0,2,0,1,2,1,2,1,1,0,1,1,1,0,2,0,1,2,2,2,2,0,0,1,0,1,1,2,1,1,,,,443.5,147.0,0.0,56.5,0.0,5.0,3.0,7.0,2.5,4.0,5.0,5.0,1.0,6.0,0.5,4.0,1.5,9.0,0.5,4.0,1.0,4.0,1.0,5.0,0.0,5.0,4.0,27.0,19.5,44.0,35.5,102.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
88,AMANDA HOSPITAL/CHC,-13.321813,74.168676,NORTHERN,FALABA,WEST VIRGINIA,EAST STEVENTOWN,,,True,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,2,0,TBA,surveillance triage_early_recognition isolation_physical_distancing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2,2,0,2,2,0,,,,,,,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,3.0,5.0,,,1.5,4.0,,,,,,,,,,,,,,,7.5,13.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
89,MONICA CLINIC,-86.333853,127.290807,NORTHERN,FALABA,WEST VIRGINIA,WHITESHIRE,,,True,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,2,2,0,TBAs,triage_early_recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,4.0,5.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
90,AMANDA TERTIARY HOSPITAL,-45.1193255,137.321139,WESTERN AREA,WESTERN AREA RURAL,LOUISIANA,LAKE ALICEMOUTH,,,True,1,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,Nursing Aide,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,592,610,545,600,358,366,370,372,12,9,7,7,13,20,10,20,2,0,0,0,2,True,True,True,True,False,True,False,2,0,2,2,1,0,0,2,0,0,0,0,0,2,0,0,2,0,2,0,0,2,2,0,0,0,0,2,0,2,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,,2,2,0,2,0,2,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,0,0,2,2,2,2,2,0,0,2,0,0,2,0,0,2,2,0,0,586.75,366.5,8.75,15.75,2.0,5.0,5.0,7.0,3.0,4.0,1.5,5.0,1.0,6.0,2.0,4.0,3.0,9.0,1.0,4.0,3.0,4.0,1.0,5.0,0.0,5.0,8.0,27.0,25.0,44.0,47.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
91,SARAH HOSPITAL,-39.5505855,81.999235,WESTERN AREA,WESTERN AREA RURAL,LOUISIANA,PORT ADAMVILLE,,,True,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,5,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,625,521,592,681,353,318,302,338,24,24,22,23,23,19,23,24,0,1,0,0,2,True,False,True,False,False,True,True,2,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,2,0,2,0,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,1,2,2,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,604.75,327.75,23.25,22.25,1.5,5.0,4.0,7.0,3.0,4.0,0.0,5.0,0.5,6.0,1.0,4.0,3.0,9.0,1.0,4.0,1.5,4.0,1.0,5.0,0.0,5.0,6.5,27.0,9.5,44.0,26.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
92,HEATHER MCHP,-21.5371825,44.77324,NORTH-WESTERN,KAMBIA,KENTUCKY,ADAMSFURT,,,True,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,530,484,448,367,328,317,278,143,10,2,11,7,15,14,5,5,0,1,1,0,1,False,False,True,True,True,True,True,2,0,2,2,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,2,2,2,2,0,2,0,2,0,1,2,0,1,2,2,0,1,2,0,2,0,0,0,0,1,2,0,0,2,,2,2,0,2,0,2,0,0,2,2,0,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,,457.25,266.5,7.5,9.75,1.5,5.0,5.0,7.0,3.0,4.0,1.5,5.0,0.5,6.0,0.0,4.0,6.0,9.0,2.0,4.0,2.5,4.0,2.0,5.0,0.5,5.0,13.0,27.0,29.0,44.0,53.5,102.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
93,JOHN CLINIC,47.1282425,54.632433,NORTH-WESTERN,KAMBIA,MISSISSIPPI,JOHNSONTON,,,True,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,281,261,338,195,169,112,150,76,7,5,9,10,11,7,18,23,0,0,0,0,2,False,True,True,True,True,True,True,1,2,2,2,1,0,2,1,2,1,0,2,2,0,1,2,2,2,0,0,0,1,2,2,0,0,0,2,1,1,0,2,1,0,0,2,1,0,2,0,0,0,0,1,0,0,0,2,,2,2,2,0,,2,0,0,2,2,0,2,0,2,2,2,2,0,2,1,2,0,2,0,2,0,2,2,2,2,2,2,0,0,2,0,2,2,2,0,,268.75,126.75,7.75,14.75,1.0,5.0,6.0,7.0,3.5,4.0,3.0,5.0,2.5,6.0,3.0,4.0,3.5,9.0,2.0,4.0,1.5,4.0,1.5,5.0,0.5,5.0,9.0,27.0,24.5,44.0,52.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
94,CHRISTOPHER REGIONAL HOSPITAL,-83.428348,141.81643,SOUTHERN,PUJEHUN,MICHIGAN,LAKE SANDRA,,,True,3,9,2,2,0,0,0,1,1,1,0,4,0,1,0,3,1,1,0,4,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1060,973,1134,899,616,544,698,538,17,16,19,15,45,46,31,54,2,2,1,1,2,True,True,True,True,True,True,True,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,2,0,1,1,1,2,0,0,2,1,1,2,2,1,1,2,1,0,0,0,2,0,2,2,1,2,1,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,1016.5,599.0,16.75,44.0,4.0,5.0,7.0,7.0,4.0,4.0,5.0,5.0,5.0,6.0,4.0,4.0,5.0,9.0,1.5,4.0,3.0,4.0,3.5,5.0,0.0,5.0,13.0,27.0,37.0,44.0,79.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
